school_name,school_type,gu,dong,address,address_detail,founded
덕산중학교,중학교,은평구,신사동,서울특별시 은평구 가좌로 400,(신사동),19880202
덕성여자고등학교,고등학교,종로구,안국동,서울특별시 종로구 율곡로3길 50,/ 덕성여자고등학교 (안국동),19200419
덕성여자중학교,중학교,종로구,송현동,서울특별시 종로구 율곡로3길 49,(송현동),19200419
덕수고등학교,고등학교,송파구,거여동,서울특별시 송파구 위례북로 10,"(거여동, 덕수고등학교)",19100413
덕수중학교,중학교,,인현동,서울 중구 마른내로9길 10,(인현동2가/덕수중학교),19100413
덕원여자고등학교,고등학교,강서구,내발산동,서울특별시 강서구 강서로45길 91-44,(내발산동/덕원여자고등학교),19780429
덕원예술고등학교,고등학교,강서구,내발산동,서울특별시 강서구 강서로45길 91-44,/ 덕원예술고등학교 (내발산동),19911107
덕원중학교,중학교,강서구,내발산동,서울특별시 강서구 강서로45길 91-44,(내발산동/덕원중학교),19780429
덕일전자공업고등학교,고등학교,구로구,오류동,서울특별시 구로구 서해안로21길 5-12,(오류동),19941005
덜위치칼리지서울영국학교,외국인학교,서초구,반포동,서울특별시 서초구 신반포로15길 6,(반포동),20101020
도곡중학교,중학교,강남구,도곡동,서울특별시 강남구 언주로57길 31,(도곡동/도곡중학교),19910121
도봉중학교,중학교,도봉구,도봉동,서울특별시 도봉구 마들로 671,(도봉동/도봉중학교),19710901
도선고등학교,고등학교,성동구,하왕십리동,서울특별시 성동구 마장로 156,(하왕십리동),20170301
독산고등학교,고등학교,금천구,독산동,서울특별시 금천구 문성로 64,/ 독산고등학교 (독산동),20011231
동광초등학교,초등학교,금천구,시흥동,서울특별시 금천구 탑골로10길 45,/ 동광초등학교 (시흥동),20010301
동구여자중학교,중학교,성북구,성북동,서울특별시 성북구 성북로8길 71,(성북동/동구여자중학교),19420617
동국대학교사범대학부속가람고등학교,고등학교,광진구,,서울특별시 광진구 광나루로36길 47,동국대학교사범대학부속가람고등학교,19300620
동국대학교사범대학부속가람중학교,중학교,광진구,구의동,서울특별시 광진구 광나루로36길 47,", 동국대학교사범대학부속가람중학교 (구의동)",19300620
동국대학교사범대학부속고등학교,고등학교,동대문구,장안동,서울특별시 동대문구 장안벚꽃로 201,(장안동/동국대학교사범대학부속고등학교),19470624
동국대학교사범대학부속중학교,중학교,동대문구,장안동,서울특별시 동대문구 장안벚꽃로 201,(장안동),19470624
동대문중학교,중학교,동대문구,전농동,서울특별시 동대문구 사가정로 59,/ 동대문중학교 (전농동),19630123
동덕여자고등학교,고등학교,서초구,방배동,서울특별시 서초구 효령로2길 123-5,/ 동덕여자고등학교 (방배동),19100428
동덕여자중학교,중학교,서초구,방배동,서울특별시 서초구 효령로2길 123-5,(방배동/동덕여자중고등학교),19080427
동도중학교,중학교,마포구,,서울특별시 마포구 백범로 139,동도중학교,19550409
동마중학교,중학교,성동구,마장동,서울특별시 성동구 마조로11길 18,(마장동),19841208
동명생활경영고등학교,고등학교,은평구,대조동,서울특별시 은평구 통일로 793,(대조동),19210603
동명여자고등학교,고등학교,은평구,대조동,서울특별시 은평구 통일로 793,(대조동/동명여자고등학교),19210603
동명여자중학교,중학교,서대문구,천연동,서울특별시 서대문구 독립문로 49,(천연동),19210603
동북고등학교,고등학교,강동구,둔촌동,서울특별시 강동구 강동대로 305,(둔촌동),19530604
동북중학교,중학교,강동구,둔촌동,서울특별시 강동구 강동대로 305,(둔촌동),19530604
동북초등학교,초등학교,도봉구,쌍문동,서울특별시 도봉구 시루봉로 53,/ 동북초등학교 (쌍문동),19640404
동산초등학교,초등학교,중구,신당동,서울특별시 중구 매봉18길 109,/ 동산초등학교 (신당동),19660310
동성고등학교,고등학교,종로구,혜화동,서울특별시 종로구 대학로 156,(혜화동/동성중고교),19070910
동성중학교,중학교,종로구,혜화동,서울특별시 종로구 대학로 156,(혜화동),19070908
동신중학교,중학교,강동구,천호동,서울특별시 강동구 진황도로 72,(천호동/ 동신중학교),19500516
동양고등학교,고등학교,강서구,가양동,서울특별시 강서구 허준로 50,(가양동/동양고등학교),19530519
동양중학교,중학교,동작구,흑석동,서울특별시 동작구 흑석로9길 94,/ 동양중학교 (흑석동),19510303
동원중학교,중학교,중랑구,망우동,서울특별시 중랑구 양원역로 32,(망우동/ 동원중학교),19860129
동일여자고등학교,고등학교,금천구,시흥동,서울특별시 금천구 탑골로10길 45,(시흥동/ 동일여자고등학교),19721219
동일중학교,중학교,금천구,시흥동,서울특별시 금천구 탑골로10길 45,(시흥동),19681216
동작고등학교,고등학교,동작구,사당동,서울특별시 동작구 솔밭로 51,(사당동/동작고등학교(복합정보센타)),19911023
동작중학교,중학교,동작구,동작동,서울특별시 동작구 동작대로39가길 83,(동작동),19841208
둔촌고등학교,고등학교,강동구,둔촌동,서울특별시 강동구 명일로 140,(둔촌동/둔촌고등학교),19970115
둔촌중학교,중학교,강동구,둔촌동,서울특별시 강동구 진황도로61길 25-30,(둔촌동),19860129
등명중학교,중학교,강서구,등촌동,서울특별시 강서구 공항대로39길 39,(등촌동/등명중학교),19950110
등원중학교,중학교,강서구,등촌동,서울특별시 강서구 화곡로65길 50,(등촌동/등원중학교),19950504
등촌고등학교,고등학교,강서구,등촌동,서울특별시 강서구 공항대로39길 115,/ 등촌고등학교 (등촌동),20040301
등촌중학교,중학교,강서구,등촌동,서울특별시 강서구 공항대로 484-12,(등촌동/등촌중학교),19810130
리라아트고등학교,고등학교,중구,예장동,서울특별시 중구 소파로2길 ,/ 24 (예장동/리라아트고등학교),19520520
리라초등학교,초등학교,중구,예장동,서울특별시 중구 소파로2길 7,(예장동),19650520
마곡중학교,중학교,강서구,마곡동,서울특별시 강서구 마곡중앙5로 58,(마곡동),20150109
마곡하늬중학교,중학교,강서구,마곡동,서울특별시 강서구 마곡서1로 16,(마곡동),20200301
마장중학교,중학교,성동구,마장동,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동),20050301
마포고등학교,고등학교,강서구,등촌동,서울특별시 강서구 화곡로 403,(등촌동/마포고등학교),19530601
마포중학교,중학교,강서구,,서울특별시 강서구 화곡로 403,/ 마포중학교 (전화 02-3663-2587),19500601
매원초등학교,초등학교,성북구,돈암동,서울특별시 성북구 북악산로 870,(돈암동),19631205
면목고등학교,고등학교,중랑구,면목동,서울특별시 중랑구 용마산로72길 36-14,(면목동/면목고등학교),19821130
면목중학교,중학교,중랑구,면목동,서울특별시 중랑구 용마산로70길 37,/ 면목중학교 (면목동),19811217
명덕고등학교,고등학교,강서구,내발산동,서울특별시 강서구 강서로47길 34-10,(내발산동/명덕고등학교),19841217
명덕여자고등학교,고등학교,강서구,내발산동,서울특별시 강서구 강서로47길 34-10,(내발산동),19831226
명덕여자중학교,중학교,강서구,내발산동,서울특별시 강서구 강서로47길 34-10,(내발산동),19771230
명덕외국어고등학교,고등학교,강서구,내발산동,서울특별시 강서구 강서로47길 34-10,/ 명덕외국어고등학교 (내발산동/명덕고등학교),19910911
명일여자고등학교,고등학교,강동구,명일동,서울특별시 강동구 명일로 350,(명일동/명일여자고등학교),19841217
명일중학교,중학교,강동구,고덕동,서울특별시 강동구 양재대로156길 57,(고덕동/명일중학교),19840109
명지고등학교,고등학교,서대문구,홍은동,서울특별시 서대문구 명지2길 56,/ 명지고등학교 (홍은동),19480412
명지중학교,중학교,서대문구,홍은동,서울특별시 서대문구 명지2길 56,(홍은동),19480412
명지초등학교,초등학교,서대문구,홍은동,서울특별시 서대문구 명지2길 32-20,(홍은동),19670315
목동고등학교,고등학교,양천구,신정동,서울특별시 양천구 목동동로2길 68,/ 목동고등학교 (신정동),19891208
목동중학교,중학교,양천구,신정동,서울특별시 양천구 목동동로 172,(신정동/목동중학교),19810301
목운중학교,중학교,양천구,목동,서울특별시 양천구 목동동로 235,(목동/목운초.중학교),20090301
목일중학교,중학교,양천구,신정동,서울특별시 양천구 목동동로8길 70,(신정동/목일중학교),19861217
무학여자고등학교,고등학교,성동구,,서울특별시 성동구 고산자로 197,무학여자고등학교,19400330
무학중학교,중학교,성동구,행당동,서울특별시 성동구 행당로 120,(행당동),19681001
문래중학교,중학교,영등포구,문래동,서울특별시 영등포구 선유서로13길 6,(문래동6가/문래중학교),19860129
문성중학교,중학교,금천구,독산동,서울특별시 금천구 독산로102길 78,/ 문성중학교 (독산동),19900120
문일고등학교,고등학교,금천구,시흥동,서울특별시 금천구 시흥대로47길 45,(시흥동),19741227
문일중학교,중학교,금천구,시흥동,서울특별시 금천구 시흥대로47길 45,/ 문일중학교 (시흥동),19671214
문정고등학교,고등학교,송파구,문정동,서울특별시 송파구 송이로34길 62,(문정동/문정고등학교),20071101
문정중학교,중학교,송파구,문정동,서울특별시 송파구 문정로 73,(문정동/ 문정중학교),19900120
문창중학교,중학교,동작구,신대방동,서울특별시 동작구 여의대방로22나길 40,(신대방동),19810508
문현고등학교,고등학교,송파구,장지동,서울특별시 송파구 충민로 115,(장지동),20100301
문현중학교,중학교,송파구,장지동,서울특별시 송파구 충민로 99,(장지동/ 문현중학교),20090301
미래산업과학고등학교,고등학교,노원구,중계동,서울특별시 노원구 덕릉로82길 54,(중계동),19940301
미림마이스터고등학교,고등학교,관악구,,서울특별시 관악구 호암로 546,미림마이스터고등학교,19910301
미림여자고등학교,고등학교,관악구,신림동,서울특별시 관악구 호암로 546,/ 미림여자고등학교 (신림동),19671230
미성중학교,중학교,관악구,신림동,서울특별시 관악구 문성로16길 40,(신림동),19840109
밀알학교,특수학교,강남구,일원동,서울특별시 강남구 일원로 90,(일원동/밀알학교),19970301
반포고등학교,고등학교,서초구,반포동,서울특별시 서초구 고무래로 71,(반포동/반포고등학교),19831226
반포중학교,중학교,서초구,반포동,서울특별시 서초구 신반포로 67,"(반포동,반포중학교)",19741227
방배중학교,중학교,서초구,반포동,서울특별시 서초구 동광로 144,(반포동/방배중학교),19801227
방산고등학교,고등학교,송파구,방이동,서울특별시 송파구 오금로27길 18,(방이동),20030301
방산중학교,중학교,송파구,방이동,서울특별시 송파구 오금로29길 31,(방이동/ 방산중학교),19910221
방원중학교,중학교,강서구,방화동,서울특별시 강서구 금낭화로 268,/ 방원중학교 (방화동/방원중학교),19931005
방이중학교,중학교,송파구,방이동,서울특별시 송파구 오금로11길 64,(방이동/방이중학교),19850412
방학중학교,중학교,도봉구,방학동,서울특별시 도봉구 시루봉로 188,/ 방학중학교 (방학동),19820117
방화중학교,중학교,강서구,방화동,서울특별시 강서구 개화동로27길 9,(방화동),19860129
배명고등학교,고등학교,송파구,삼전동,서울특별시 송파구 삼학사로 11,/ 배명고등학교 (삼전동),19490307
배명중학교,중학교,송파구,삼전동,서울특별시 송파구 삼학사로 11,(삼전동/배명중고등학교),19490307
배문고등학교,고등학교,용산구,서계동,서울특별시 용산구 효창원로 258,(서계동),19551231
배문중학교,중학교,용산구,서계동,서울특별시 용산구 효창원로 258,/ 배문중학교 (서계동),19550317
배재고등학교,고등학교,강동구,고덕동,서울특별시 강동구 고덕로 227,(고덕동/배재중 고등학교),18850608
배재중학교,중학교,강동구,고덕동,서울특별시 강동구 고덕로 227,(고덕동/ 배재중학교),18850803
배화여자고등학교,고등학교,종로구,필운동,서울특별시 종로구 필운대로1길 34,(필운동/배화여자고등학교),18981002
배화여자중학교,중학교,종로구,필운동,서울특별시 종로구 필운대로1길 34,/ 배화여자중학교 (필운동),18981002
백석중학교,중학교,강서구,등촌동,서울특별시 강서구 등촌로51나길 35,(등촌동/백석중학교),19821209
백암고등학교,고등학교,양천구,신정동,서울특별시 양천구 신정로13길 16,/ 백암고등학교 (신정동),19840409
백운중학교,중학교,도봉구,쌍문동,서울특별시 도봉구 도봉로129길 50,(쌍문동),19920301
번동중학교,중학교,강북구,번동,서울특별시 강북구 오현로35길 87,(번동/번동중학교),19920301
보성고등학교,고등학교,송파구,방이동,서울특별시 송파구 양재대로 1278,(방이동/보성중고등학교),19060905
보성여자고등학교,고등학교,용산구,용산동,서울특별시 용산구 신흥로3가길 66,/ 보성여자고등학교 (용산동2가),19071010
보성여자중학교,중학교,용산구,용산동,서울특별시 용산구 신흥로3가길 66,(용산동2가),19071010
보성중학교,중학교,송파구,방이동,서울특별시 송파구 양재대로 1278,(방이동/보성중고등학교),19060905
보인고등학교,고등학교,송파구,오금동,서울특별시 송파구 오금로49길 18,/ 보인고등학교 (오금동),19080608
보인중학교,중학교,송파구,오금동,서울특별시 송파구 오금로49길 18,(오금동/ 보인중고등학교),19080608
봉림중학교,중학교,관악구,봉천동,서울특별시 관악구 장군봉길 72,(봉천동),19881224
봉영여자중학교,중학교,양천구,신정동,서울특별시 양천구 목동동로2길 68,(신정동/봉영여자중학교),19511008
봉원중학교,중학교,관악구,봉천동,서울특별시 관악구 관악로24가길 15,/ 봉원중학교 (봉천동/봉원중학교),19691111
봉은중학교,중학교,강남구,삼성동,서울특별시 강남구 영동대로128길 59,(삼성동),19860129
봉화중학교,중학교,중랑구,망우동,서울특별시 중랑구 망우로70길 89,(망우동/봉화중학교),19850501
북서울중학교,중학교,도봉구,도봉동,서울특별시 도봉구 도봉로169가길 33,(도봉동),19841208
북악중학교,중학교,성북구,정릉동,서울특별시 성북구 정릉로12길 41,(정릉동/북악중학교),19840110
불광중학교,중학교,은평구,불광동,서울특별시 은평구 불광로 180,/ 불광중학교 (불광동),19740920
불암고등학교,고등학교,노원구,중계동,서울특별시 노원구 중계로 155,(중계동),20050301
불암중학교,중학교,노원구,하계동,서울특별시 노원구 한글비석로5길 45,/ 불암중학교 (하계동),19921227
사당중학교,중학교,동작구,사당동,서울특별시 동작구 사당로9가길 58,/ 사당중학교 (사당동),19840109
삼각산고등학교,고등학교,강북구,미아동,서울특별시 강북구 삼양로19길 40,(미아동/삼각산고등학교),20110301
삼각산중학교,중학교,강북구,미아동,서울특별시 강북구 삼양로19길 141,/ 삼각산중학교 (미아동),20030106
삼선중학교,중학교,성북구,동소문동,서울특별시 성북구 동소문로3길 69,(동소문동4가/삼선중학교),19600219
삼성고등학교,고등학교,관악구,신림동,서울특별시 관악구 신림로 41,(신림동),19860112
삼성중학교,중학교,관악구,신림동,서울특별시 관악구 신림로3가길 39-24,(신림동/삼성중학교),19701002
삼정중학교,중학교,강서구,방화동,서울특별시 강서구 금낭화로 210,(방화동/삼정중학교),19940105
상경중학교,중학교,노원구,상계동,서울특별시 노원구 동일로227길 61,(상계동/ 상경중학교),19881224
상계고등학교,고등학교,노원구,상계동,서울특별시 노원구 노해로 432,(상계동/ 상계고등학교),19871215
상계제일중학교,중학교,노원구,중계동,서울특별시 노원구 덕릉로86길 29-15,/ 상계제일중학교 (중계동),19710116
상계중학교,중학교,노원구,상계동,서울특별시 노원구 노원로 398,(상계동/ 상계중학교),19860301
상도중학교,중학교,동작구,사당동,서울특별시 동작구 사당로2가길 72,/ 상도중학교 (사당동),19681023
상명고등학교,고등학교,노원구,중계동,서울특별시 노원구 덕릉로 553,(중계동),19371201
상명대학교사범대학부속여자고등학교,고등학교,종로구,홍지동,서울특별시 종로구 홍지문2길 20,"(홍지동,상명대학교)",19661219
상명대학교사범대학부속여자중학교,중학교,종로구,홍지동,서울특별시 종로구 홍지문2길 20,(홍지동),19661117
상명대학교사범대학부속초등학교,초등학교,종로구,홍지동,서울특별시 종로구 홍지문2길 1,(홍지동/ 상명초등학교),19660312
상명중학교,중학교,노원구,중계동,서울특별시 노원구 덕릉로 553,/ 상명중학교 (중계동),19371201
상명초등학교,초등학교,노원구,중계동,서울특별시 노원구 덕릉로 541,/ 상명초등학교 (중계동),19640206
상문고등학교,고등학교,서초구,방배동,서울특별시 서초구 명달로 45,(방배동/상문고등학교),19721223
상봉중학교,중학교,중랑구,상봉동,서울특별시 중랑구 상봉중앙로8나길 28,(상봉동),20010506
상신중학교,중학교,은평구,신사동,서울특별시 은평구 증산로15길 61,(신사동),19841208
상암고등학교,고등학교,마포구,상암동,서울특별시 마포구 월드컵북로 445,(상암동),20070104
상암중학교,중학교,마포구,상암동,서울특별시 마포구 상암산로1길 26,(상암동),20070301
상원중학교,중학교,노원구,상계동,서울특별시 노원구 수락산로 182,(상계동),19930115
상일미디어고등학교,고등학교,강동구,상일동,서울특별시 강동구 천호대로219길 61,/ 상일미디어고등학교 (상일동),19831226
상일여자고등학교,고등학교,강동구,상일동,서울특별시 강동구 천호대로219길 61,/ 상일여자고등학교 (상일동),19791006
상일중학교,중학교,강동구,상일동,서울특별시 강동구 천호대로219길 61,(상일동/ 상일여자중학교),19790221
상현중학교,중학교,동작구,상도동,서울특별시 동작구 사당로2길 2-19,(상도동),19680806
서라벌고등학교,고등학교,노원구,중계1동,서울특별시 노원구 한글비석로5길 18,/ (중계1동 313/ 서라벌고등학교) ,19560305
서라벌중학교,중학교,강북구,우이동,서울특별시 강북구 삼양로155길 37-9,/ 서라벌중학교 (우이동),19560305
서문여자고등학교,고등학교,서초구,방배동,서울특별시 서초구 동광로12길 84,(방배동/서문여자고등학교),19721229
서문여자중학교,중학교,서초구,방배동,서울특별시 서초구 동광로12길 84,(방배동),19781229
서서울생활과학고등학교,고등학교,구로구,궁동,서울특별시 구로구 오리로 1355-10,/ 서서울생활과학고등학교 (궁동),19720305
서연중학교,중학교,서대문구,연희동,서울특별시 서대문구 연희로11마길 9-6,(연희동),19841208
서운중학교,중학교,서초구,서초동,서울특별시 서초구 서운로 115,(서초동/서운중학교),19820107
서울가곡초등학교,초등학교,강서구,내발산동,서울특별시 강서구 공항대로36길 74,(내발산동/가곡초등학교),19920715
서울가동초등학교,초등학교,송파구,가락동,서울특별시 송파구 중대로20길 47,(가락동),19900425
서울가락초등학교,초등학교,송파구,가락동,서울특별시 송파구 송파대로37길 45,(가락동/ 가락초등학교),19810909
서울가산초등학교,초등학교,금천구,독산동,서울특별시 금천구 남부순환로 1304-11,/ 서울가산초등학교 (독산동),19830625
서울가양초등학교,초등학교,,가양동,서울 강서구 허준로 186,/ (가양동/가양초등학교),19920715
서울가원초등학교,초등학교,송파구,문정동,서울특별시 송파구 중대로4길 8,(문정동/ 가원초등학교),19881208
서울가인초등학교,초등학교,도봉구,창동,서울특별시 도봉구 도봉로136다길 4,(창동/가인초등학교),20031230
서울가재울초등학교,초등학교,서대문구,남가좌동,서울특별시 서대문구 모래내로15길 61,(남가좌동),20160301
서울가주초등학교,초등학교,송파구,가락동,서울특별시 송파구 오금로40길 37,/ 서울가주초등학교 (가락동/ 가주초등학교),19960810
서울갈산초등학교,초등학교,양천구,신정동,서울특별시 양천구 목동로 31,/ 서울갈산초등학교 (신정동),19870909
서울갈현초등학교,초등학교,은평구,갈현동,서울특별시 은평구 연서로29길 31,/ 갈현초등학교 (갈현동),19661202
서울강남초등학교,초등학교,동작구,상도1동,서울특별시 동작구 강남초등길 15,(상도1동),19451102
서울강덕초등학교,초등학교,강동구,고덕동,서울특별시 강동구 동남로82길 94-54,(고덕동/ 서울강덕초등학교),19861217
