ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNMA,FA_RDNDA,FA_RDNZC,FA_TELNO,LOAD_DTM,lat,lng,geocode_source
B10,서울특별시교육청,강남구,교습소,3000029005,강재춘영어교실영어교습소,20170511,20170511,개원,        ,99991231,6,3,입시.검정 및 보습,보통교과,영어,보습,영어:520000,Y,N,서울특별시 강남구 삼성로63길 14,", 1층 101호 (대치동)",6203,02-0000-0000,20231018,37.4998969390067,127.058995152805,rdnma
B10,서울특별시교육청,강남구,교습소,3000053824,강한영어교습소,20251226,20251226,개원,        ,        ,0,0,입시.검정 및 보습,보통교과,영어A,보습·논술,"영어A:430000, 영어B:460000, 영어C:300000",Y, ,서울특별시 강남구 도곡로78길 22,", 3층 309호(대치동)",6279,,20260201,37.4966357303128,127.0588476129,rdnma
B10,서울특별시교육청,강남구,교습소,3000027797,개념을잘잡아주는수학교습소,20161216,20161216,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,수학연산,보습·논술,"수학연산:120000, 수학교과:150000, 수학1:240000, 수학2:250000, 수학3:360000, 수학4:300000",Y,N,서울특별시 강남구 삼성로4길 17,", 208호 (개포동, 주공아파트)",6329,070-4222-3411,20260208,37.4879144140576,127.06903483437,rdnma
B10,서울특별시교육청,강남구,교습소,3000031337,개념탄탄수학논술교습소,20180312,20180312,개원,        ,99991231,24,4,입시.검정 및 보습,보통교과,수학논술1-1,보습·논술,"수학논술1-1:160000, 수학논술1-2:320000, 수학논술1-3:480000, 수학논술2-1:200000, 수학논술2-2:400000, 수학논술2-3:600000",Y,N,서울특별시 강남구 선릉로 225,", 2층 221-2호 (도곡동)",6276,02-000-0000,20250518,37.4953648706654,127.052720025644,rdnma
B10,서울특별시교육청,강남구,교습소,2000002351,개원영재바둑교습소,19960412,19960412,개원,        ,99991231,19,7,기타(대),기타(중),바둑입문반,바둑, ,N,N,서울특별시 강남구 개포로22길 96,", 3층 (개포동)",135961,02-579-9714,20231018,37.4752712296935,127.053089494503,rdnma
B10,서울특별시교육청,강남구,교습소,3000015226,개인별맞춤수신수학교습소,20120907,20120907,개원,        ,99991231,75,9,입시.검정 및 보습,보통교과,수학1,보습,"수학1:95000, 수학2:380000, 수학3:760000, 수학4:1140000, 수학5:85000, 수학6:340000, 수학7:680000, 수학8:1020000, 수학9:75000, 수학10:300000, 수학11:600000, 수학12:900000, 수학13:1235000, 수학14:1105000, 수학15:975000",Y,N,서울특별시 강남구 선릉로 320,3층 303호(대치동),6205,02-0000-0000,20241215,37.4982776081634,127.052193165337,rdnma
B10,서울특별시교육청,강남구,교습소,17920,개포스마트해법영어교습소,20070718,20070718,개원,        ,99991231,28,8,입시.검정 및 보습,보통교과,초등영어A,보습,"초등영어A:240000, 초등영어B:340000, 중등영어A:360000, 중등영어B:600000",Y,N,서울특별시 강남구 선릉로 30,", 302-1, 302-2호 (개포동, 개포빌딩)",6325,02-542-0580,20250824,37.4825134167189,127.0611746831,rdnma
B10,서울특별시교육청,강남구,교습소,3000039970,개포양전하연과학교습소,20211019,20211019,개원,        ,99991231,56,8,입시.검정 및 보습,보통교과,과학A,보습,"과학A:53500, 과학B:58500, 과학C:63500, 과학D:68500, 과학A:78500, 과학B:83500, 과학C:93500",Y,N,서울특별시 강남구 개포로82길 13-11,", 201호 (개포동)",6329,,20231018,37.4887469377421,127.06811631999,rdnma
B10,서울특별시교육청,강남구,교습소,3000029551,개포푸른숲바이올린교습소,20170731,20170731,개원,        ,99991231,18,6,예능(대),예능(중),,음악, ,Y,N,서울특별시 강남구 언주로 110,", 2층4호 (개포동, 경남아파트상가)",6317,02-529-3230,20231018,37.4854059409863,127.054710026842,rdnma
B10,서울특별시교육청,강남구,교습소,4536,개포하이탑수학교습소,20040419,20040419,개원,        ,99991231,18,3,입시.검정 및 보습,보통교과,초등수학,보습, ,Y,N,서울특별시 강남구 개포로109길 5,대치종합상가 309호(개포동),135940,02-0000-0000,20241006,37.4923220024104,127.074601198665,rdnma
B10,서울특별시교육청,강남구,교습소,3000054139,개포현바이올린교습소,20260207,20260205,개원,        ,        ,0,2,예능(대),,,, ,Y, ,서울특별시 강남구 광평로10길 15,", 2층 208호(일원동)",6360,,20260208,37.482899384108,127.083445404216,rdnma
B10,서울특별시교육청,강남구,교습소,3000023714,거인의숲수학교습소,20150623,20150623,개원,        ,99991231,41,4,입시.검정 및 보습,보통교과,첨삭고등문과,보습,"첨삭고등문과:600000, 첨삭고등이과:1000000, 초등수학:400000, 중등앨리트:550000, 첨삭초등심화:550000, 첨삭중등심화:600000, 고등앨리트:550000, 특강초등:300000, 특강중등:380000, 특강고등:425000",Y,N,서울특별시 강남구 삼성로 151,", 301호 일부 (대치동, 선경상가)",6291,02-566-5347,20250330,37.493154981993,127.062999980103,rdnma
B10,서울특별시교육청,강남구,교습소,3000030510,게으른수학교습소,20171207,20171205,개원,        ,99991231,72,6,입시.검정 및 보습,보통교과,수학(초등저학년 교과반),보습,"수학(초등저학년 교과반):150000, 수학(초등저학년 연산반):150000, 수학(초등고학년 종합반):300000, 수학(초등고학년 보충반):100000, 수학(중등반):350000, 수학(고등반):384000, 수학(특강반#1):150000, 수학(특강반#2):200000, 수학(특강반#3):250000, 수학(특강반#4):300000, 수학(특강반#5):350000, 수학(특강반#6):100000",Y,N,서울특별시 강남구 압구정로4길 27-6,", 2층 (신사동)",6028,02-548-4476,20231018,37.5217771266406,127.020800848774,rdnma
B10,서울특별시교육청,강남구,교습소,3000035880,고수사회탐구교습소,20191213,20191213,개원,        ,99991231,4,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 역삼로 512,", 302호(대치동)",6186,000-0000-0000,20240128,37.503238644621,127.05978096144,rdnma
B10,서울특별시교육청,강남구,교습소,3000032827,공간미술교습소,20181012,20181012,개원,        ,99991231,36,9,예능(대),예능(중),아동미술,미술,"아동미술:140000, 초등미술저학년:140000, 초등미술고학년:160000, 중고등미술:160000",Y,N,서울특별시 강남구 학동로 513,", 203호 (청담동, 진흥아파트상가)",6074,02-0000-0000,20231018,37.5200198304195,127.054216748317,rdnma
B10,서울특별시교육청,강남구,교습소,8751,공감수학교습소,20050317,20050317,개원,        ,99991231,6,3,입시.검정 및 보습,보통교과,중등수학,보습, ,N,N,서울특별시 강남구 자곡로 120,", 1층 103호(자곡동)",6373,02-539-7359,20231224,37.4721456267663,127.096502429368,rdnma
B10,서울특별시교육청,강남구,교습소,3000053879,과학의맥과학교습소,20251231,20251230,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 압구정로 114,401호(신사동),6028,,20260201,37.523286306744,127.021302749816,rdnma
B10,서울특별시교육청,강남구,교습소,3000035009,구름아이들미술교습소,20190809,20190809,개원,        ,99991231,9,5,예능(대),예능(중),미술,미술,"미술:70000, 미술 :56000, 미술1:67000, 미술2:93000",Y,N,서울특별시 강남구 삼성로67길 33,", 102호 (대치동)",6204,000-0000-0000,20241006,37.5003691965932,127.056892273503,rdnma
B10,서울특별시교육청,강남구,교습소,3000053718,국탑수학교습소,20251211,20251211,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 논현로8길 50-6,", 3층 301(개포동)",6314,,20251214,37.4743701616279,127.05301842638,rdnma
B10,서울특별시교육청,강남구,교습소,3000031713,권수학교습소,20180502,20180502,개원,        ,99991231,4,4,입시.검정 및 보습,보통교과,수학,보습, ,Y,N,서울특별시 강남구 선릉로6길 10,", 2층 (개포동)",6325,02-000-0000,20231018,37.4826563379885,127.06182615821,rdnma
B10,서울특별시교육청,강남구,교습소,3000022340,그레이스잉글리시(Grace English)영어교습소,20150206,20150206,개원,        ,99991231,9,3,입시.검정 및 보습,보통교과,"고3 내신,수능",보습, ,Y,N,서울특별시 강남구 도곡로 405,", 203호 중 좌측 (대치동, 삼환 아르누보2)",6207,02-567-0305,20231018,37.4973689050395,127.054668203745,rdnma
B10,서울특별시교육청,강남구,교습소,17607,그림세계미술교습소,20070627,20070627,개원,        ,99991231,24,6,예능(대),예능(중),미술(유치부),미술,"미술(유치부):170000, 미술(유치부):110000, 미술(초등부):170000, 미술(초등부):110000",Y,N,서울특별시 강남구 광평로31길 27, 삼성아파트 상가동 2층 203호 (수서동),135521,02-3411-2707,20251012,37.484837855733,127.089778957788,rdnma
B10,서울특별시교육청,강남구,교습소,3000039492,그림이싱싱해미술교습소,20210713,20210713,개원,        ,99991231,45,5,예능(대),예능(중),미술,미술,"미술:70000, 미술기초(초급)1-1:100000, 미술기초(초급)1-2:110000, 미술(중급)1-1:120000, 미술(고급):140000, 미술기초(초급)1-3:100000, 미술(중급)1-2:120000, 미술기초2-1:160000, 미술중급2-1:180000",Y,N,서울특별시 강남구 언주로 107,", 202호 (개포동, 현대2차아파트)",6305,02-574-9027,20231018,37.4835863365345,127.0519554575,rdnma
B10,서울특별시교육청,강남구,교습소,9084,그릿에듀수학교습소,20050401,20050401,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,중등수학특강,보습,"중등수학특강:320000, 고등수학특강:400000, 중등수학a:600000, 중등수학b:800000, 중등수학allcare:1000000, 고1수학a:720000, 고1수학b:1000000, 고1수학allcare:1200000, 고2수학a:800000, 고2수학b:1100000, 고2수학allcare:1300000, 고3수학a1:880000, 고3수학a2:930000, 고3수학b1:1200000, 고3수학b2:1300000, 고3수학allcare:1500000",N,N,서울특별시 강남구 삼성로57길 35,", 2층 (대치동)",6279,02-556-6018,20240428,37.4973132249978,127.058245850868,rdnma
B10,서울특별시교육청,강남구,교습소,3000043811,그릿클럽영어교습소,20230427,20230427,개원,        ,99991231,72,9,국제화,외국어,영어(독해기초),실용외국어(유아/초·중·고),"영어(독해기초):420000, 영어(작문기초):420000, 영어(작문):640000, 영어(문학독해특강):1152000, 영어(문학작문특강):768000, 영어(비문학독해특강):1000000, 영어(비문학작문특강):600000, 영어(리서치작문특강):800000",Y,N,서울특별시 강남구 언주로174길 19,", 3층 일부 (신사동, 마론빌딩)",6017,02-0000-0000,20251005,37.5283452279031,127.035617586053,rdnma
B10,서울특별시교육청,강남구,교습소,3000015757,글과문장논술교습소,20121127,20121127,개원,        ,99991231,24,8,입시.검정 및 보습,보통교과,,보습·논술,"초등논술:180000, 중등논술:300000, 고등논술:340000, 초등논술:130000",Y,N,서울특별시 강남구 선릉로130길 20,", 305호 (삼성동, 래미안 삼성2차)",6088,02-3443-8870,20231018,37.5156660777991,127.043343754852,rdnma
B10,서울특별시교육청,강남구,교습소,3000030426,글의힘논술교습소,20171129,20171129,개원,        ,99991231,6,6,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,서울특별시 강남구 선릉로72길 26,", 2층 (대치동)",6200,02-569-9333,20231018,37.5005109796777,127.053297237949,rdnma
B10,서울특별시교육청,강남구,교습소,3000016790,긍정영어교습소,20130314,20130314,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,영어중등,보습,"영어중등:400000, 영어고등:400000, 영어초등:400000",Y,N,서울특별시 강남구 도곡로 413,", 1층 102호 (대치동,삼환 SO GOOD)",135998,02-515-4149,20231210,37.4975626710697,127.055719026391,rdnma
B10,서울특별시교육청,강남구,교습소,3000019163,기똥찬수학교습소,20140115,20140115,개원,        ,99991231,9,3,입시.검정 및 보습,보통교과,초등,보습, ,Y,N,서울특별시 강남구 도곡로 510,", 3층 5호 (대치동)",135501,02-561-3112,20231018,37.4990204274664,127.062182304456,rdnma
B10,서울특별시교육청,강남구,교습소,3000017832,기백한국사교습소,20130726,20130726,개원,        ,99991231,30,5,입시.검정 및 보습,보통교과,초등A,보습, ,N,N,서울특별시 강남구 삼성로67길 3,", B02호 (대치동)",135998,02-0000-0000,20231018,37.5011029671157,127.059112020222,rdnma
B10,서울특별시교육청,강남구,교습소,3000036489,기승전회화미술교습소,20200306,20200306,개원,        ,99991231,48,9,예능(대),예능(중),회화1,미술,"회화1:200000, 회화2:400000, 회화3:600000, 회화4:800000, 회화5:1000000, 회화6:1200000, 회화7:1400000, 회화8:1600000, 회화9:1800000, 회화10:2000000, 회화11:2200000, 회화12:2400000",Y,N,서울특별시 강남구 삼성로 212,"207호 A상가(대치동,은마아파트)",6284,02-0000-0000,20240428,37.4996157705058,127.065915414443,rdnma
B10,서울특별시교육청,강남구,교습소,3000041499,김병훈수학교습소,20220520,20220520,개원,        ,99991231,12,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 삼성로67길 10,", 102호 (대치동)",6202,02-553-6322,20231018,37.5011377998664,127.058642266331,rdnma
B10,서울특별시교육청,강남구,교습소,25375,김성수수학교습소,20090825,20090825,개원,        ,99991231,42,6,입시.검정 및 보습,보통교과,,보습, ,Y,Y,서울특별시 강남구 삼성로115길 37,",2층 일부(삼성동)",6096,02-552-5470,20240428,37.5140358661461,127.049161230947,rdnma
B10,서울특별시교육청,강남구,교습소,3000031531,김수용프로바둑교습소,20180329,20180329,개원,        ,99991231,36,9,기타(대),기타(중),바둑1,바둑, ,Y,N,서울특별시 강남구 삼성로 212,", B동 301-16호 (대치동, 은마아파트)",6284,02-555-0421,20231018,37.4996157705058,127.065915414443,rdnma
B10,서울특별시교육청,강남구,교습소,3000043624,김안나키즈싱어3호점음악교습소,20230328,20230328,개원,        ,99991231,1,5,예능(대),예능(중),,음악, ,Y,N,서울특별시 강남구 삼성로 151,", 304호의 왼쪽일부 (대치동, 선경아파트)",6291,,20231018,37.493154981993,127.062999980103,rdnma
B10,서울특별시교육청,강남구,교습소,20206,김용환수학교습소,20080331,20080331,개원,        ,99991231,10,5,입시.검정 및 보습,보통교과,중등수학,보습,"중등수학:430000, 고등수학:530000",Y,N,서울특별시 강남구 선릉로 30,304호(개포동),135802,02-576-3751,20231119,37.4825134167189,127.0611746831,rdnma
B10,서울특별시교육청,강남구,교습소,3000022216,김윤진피아노교습소,20150126,20150126,개원,        ,99991231,24,9,예능(대),예능(중),피아노 초급A,음악,"피아노 초급A:90000, 피아노 초급B:100000, 피아노 중급A:110000, 피아노 중급B:120000, 피아노 입시:320000, 피아노 입시:360000",Y,N,서울특별시 강남구 삼성로4길 17,", 206호 (개포동, 개포주공아파트503동)",135994,02-2201-0101,20231018,37.4879144140576,127.06903483437,rdnma
B10,서울특별시교육청,강남구,교습소,3000011553,김은옥국어논술교습소,20110719,20110719,개원,        ,99991231,60,9,입시.검정 및 보습,보통교과,중등논술,보습·논술,"중등논술:200000, 고등논술:250000, 중등:200000, 고1,2:250000, 고3,특강:280000, 중등 특강:240000, 중등부:220000, 고등1,2:260000",Y,N,서울특별시 강남구 봉은사로71길 31,", 201호 (삼성동)",6094,02-545-0403,20231018,37.5142413733957,127.0491894173,rdnma
B10,서울특별시교육청,강남구,교습소,3000022341,김은지한자한문교습소,20150128,20150128,개원,        ,99991231,24,6,입시.검정 및 보습,보통교과,한자급수(초1~4),보습,"한자급수(초1~4):136498, 한자급수(초5~6):146999, 한자급수(초5~6) :189000, 한자급수(중1~2):157500, 한자급수(중1~2) :220500, 한자급수(중3,고등):315000, 내신한문(중등):220500, 내신한문(고등):315000",Y,N,서울특별시 강남구 남부순환로 2917,", 208-가호 (대치동,청실상가동)",6280,02-0000-0000,20240324,37.4931666957307,127.059164905458,rdnma
B10,서울특별시교육청,강남구,교습소,25921,김은희예스셈수학교습소,20091013,20091013,개원,        ,99991231,3,9,입시.검정 및 보습,보통교과,수학(2),보습,"수학(2):270000, 수학:170000",Y,N,서울특별시 강남구 광평로10길 15,", 111호 (일원동,상록수아파트)",135947,02-2226-6244,20260201,37.482899384108,127.083445404216,rdnma
B10,서울특별시교육청,강남구,교습소,27229,김인희국어교습소,20100104,20100104,개원,        ,99991231,3,4,입시.검정 및 보습,보통교과,국어,보습,국어:123000,Y,N,서울특별시 강남구 압구정로 113-22,3층 2호의 2개실중 좌측(압구정동),6000,02-542-4507,20250223,37.5247411726121,127.019644043561,rdnma
B10,서울특별시교육청,강남구,교습소,2000000561,김재용교습소,19820706,19820706,개원,        ,99991231,0,0,기타(대),기타(중),주산,주산, ,N,N,., ,0,02-0000-0000,20231018,,,fail
B10,서울특별시교육청,강남구,교습소,3356,김정사회탐구교습소,20031126,20031126,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,,보습,"사회탐구:58200, 한국사:170000, 사회문화:170000, 윤리와사상:170000, 생활과윤리:170000",N,N,서울특별시 강남구 선릉로8길 15,  202호 (개포동),135802,02-573-0368,20231018,37.4833457831311,127.061838824213,rdnma
B10,서울특별시교육청,강남구,교습소,3000033976,김정훈수리논술교습소,20190318,20190318,개원,        ,99991231,5,5,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,서울특별시 강남구 삼성로 348,", 4층일부(402호) (대치동)",6186,02-566-5735,20231018,37.5026720441086,127.059160869655,rdnma
