학교명,도로명주소,학교종류,전화번호,홈페이지,설립구분
대광중학교,서울특별시 동대문구 안암로 6,중학교,02-940-2206,http://www.dgm.ms.kr,사립
대광초등학교,서울특별시 성북구 안암로 5,초등학교,02-923-2032,http://www.daegwang.or.kr,사립
대동세무고등학교,서울특별시 종로구 계동길 84-10,고등학교,02-763-1631,http://daedong.sen.hs.kr,사립
대림중학교,서울특별시 영등포구 시흥대로185길 6,중학교,02-845-2171,http://www.daerim.ms.kr,공립
대명중학교,서울특별시 강남구 역삼로87길 26,중학교,02-563-3701,http://www.daemyeong.ms.kr,공립
대방중학교,서울특별시 동작구 여의대방로10길 24,중학교,02-831-2502,http://daebang.sen.ms.kr,공립
대성고등학교,서울특별시 은평구 갈현로29길 51-24,고등학교,02-6252-1000,http://dae-sung.sen.hs.kr,사립
대성중학교,서울특별시 은평구 갈현로29길 51-24,중학교,02-6252-1100,https://dsms.sen.ms.kr,사립
대신고등학교,서울특별시 종로구 사직로 9,고등학교,02-736-0317,http://www.dae-shin.hs.kr/,사립
대신중학교,서울특별시 종로구 사직로 9,중학교,02-736-0318,http://dae-shin.sen.ms.kr,사립
대영고등학교,서울특별시 영등포구 도림로86길 16,고등학교,02-847-2019,http://www.dy.hs.kr,공립
대영중학교,서울특별시 영등포구 도림로80가길 14,중학교,02-848-7781,http://daeyoung.ms.kr,공립
대왕중학교,서울특별시 강남구 광평로20길 7,중학교,02-2226-2646,http://www.daewang.ms.kr,공립
대원고등학교,서울특별시 광진구 용마산로22길 26,고등학교,02-2204-1570,http://daewon.sen.hs.kr,사립
대원국제중학교,서울특별시 광진구 용마산로22길 26,중학교,02-2204-1592,http://daewon.ms.kr,사립
대원여자고등학교,서울특별시 광진구 용마산로22길 26,고등학교,02-2204-1620,http://www.dwg.hs.kr,사립
대원외국어고등학교,서울특별시 광진구 용마산로22길 26,고등학교,02-2204-1530,http://www.dwfl.hs.kr/,사립
대일고등학교,서울특별시 강서구 등촌로 105,고등학교,070-4020-6400,https://daeil.sen.hs.kr/index.do,사립
대일관광고등학교,서울특별시 양천구 신정이펜1로 11,고등학교,070-4377-8871,http://daeil-tour.sen.hs.kr,사립
대일외국어고등학교,서울특별시 성북구 서경로 116,고등학교,02-940-1000,www.daeil.or.kr,사립
대진고등학교,서울특별시 노원구 공릉로62가길 47,고등학교,02-976-0067,http://www.dae-jin.hs.kr,사립
대진디자인고등학교,서울특별시 강남구 광평로39길 93,고등학교,02-2226-8418,http://www.daejindesign.hs.kr,사립
대진여자고등학교,서울특별시 노원구 공릉로 438,고등학교,02-979-2327,http://www.daejinw.hs.kr,사립
대청중학교,서울특별시 강남구 양재천로 321,중학교,02-553-9830,http://daecheong.sen.ms.kr,공립
대치중학교,서울특별시 강남구 남부순환로378길 39,중학교,02-572-9781,http://daechi.sen.ms.kr,공립
덕산중학교,서울특별시 은평구 가좌로 400,중학교,02-3146-7200,http://www.duksan.ms.kr,공립
덕성여자고등학교,서울특별시 종로구 율곡로3길 50,고등학교,02-734-6871,http://duksung.sen.hs.kr,사립
덕성여자중학교,서울특별시 종로구 율곡로3길 49,중학교,02-733-4807,http://duksung.ms.kr,사립
덕수고등학교,서울특별시 송파구 위례북로 10,고등학교,02-6952-2801,https://duksoo.sen.hs.kr/,공립
덕수중학교,서울 중구 마른내로9길 10,중학교,02-2265-9063,http://www.ducksu.ms.kr,공립
덕원여자고등학교,서울특별시 강서구 강서로45길 91-44,고등학교,02-2660-7800,http://deokwon.sen.hs.kr,사립
덕원예술고등학교,서울특별시 강서구 강서로45길 91-44,고등학교,02-2660-7911,http://www.dwarts.hs.kr,사립
덕원중학교,서울특별시 강서구 강서로45길 91-44,중학교,02-2660-7955,http://deokwon.sen.ms.kr,사립
덕일전자공업고등학교,서울특별시 구로구 서해안로21길 5-12,고등학교,02-2613-2762,http://di.sen.hs.kr,사립
덜위치칼리지서울영국학교,서울특별시 서초구 신반포로15길 6,외국인학교,02-3015-8500,http://www.dulwich-seoul.kr,사립
도곡중학교,서울특별시 강남구 언주로57길 31,중학교,02-3462-5951,http://dogok.sen.ms.kr,공립
도봉중학교,서울특별시 도봉구 마들로 671,중학교,02-954-4117,http://www.dobong.ms.kr,공립
도선고등학교,서울특별시 성동구 마장로 156,고등학교,02-2292-8175,http://dosun.sen.hs.kr,공립
독산고등학교,서울특별시 금천구 문성로 64,고등학교,02-857-6248,http://doksan.sen.hs.kr,공립
동광초등학교,서울특별시 금천구 탑골로10길 45,초등학교,02-891-0151,http://donggwang.sen.es.kr ,사립
동구여자중학교,서울특별시 성북구 성북로8길 71,중학교,02-762-1304,http://www.dong-gu.ms.kr,사립
동국대학교사범대학부속가람고등학교,서울특별시 광진구 광나루로36길 47,고등학교,0220491577,https://garam.sen.hs.kr,사립
동국대학교사범대학부속가람중학교,서울특별시 광진구 광나루로36길 47,중학교,02-6948-2280,https://garam.sen.ms.kr,사립
동국대학교사범대학부속고등학교,서울특별시 동대문구 장안벚꽃로 201,고등학교,02-6913-1511,http://ddbk.sen.hs.kr,사립
동국대학교사범대학부속중학교,서울특별시 동대문구 장안벚꽃로 201,중학교,02-6716-1700,http://dongguk.ms.kr,사립
동대문중학교,서울특별시 동대문구 사가정로 59,중학교,02-3407-4231,http://dongdaemun.sen.ms.kr,공립
동덕여자고등학교,서울특별시 서초구 효령로2길 123-5,고등학교,02-586-5418,http://dongduk.sen.hs.kr,사립
동덕여자중학교,서울특별시 서초구 효령로2길 123-5,중학교,02-586-5417,http://dongduk.sen.ms.kr,사립
동도중학교,서울특별시 마포구 백범로 139,중학교,02-716-5391,http://www.dong-do.ms.kr,사립
동마중학교,서울특별시 성동구 마조로11길 18,중학교,02-2294-6085,http://www.dongma.ms.kr,공립
동명생활경영고등학교,서울특별시 은평구 통일로 793,고등학교,02-383-2628,http://dmgcab.sen.hs.kr/,사립
동명여자고등학교,서울특별시 은평구 통일로 793,고등학교,02-385-0652,http://dongmyung.sen.hs.kr,사립
동명여자중학교,서울특별시 서대문구 독립문로 49,중학교,02-363-5043,http://www.dongmyunggirls.ms.kr,사립
동북고등학교,서울특별시 강동구 강동대로 305,고등학교,02-477-2280,http://dongbuk.hs.kr,사립
동북중학교,서울특별시 강동구 강동대로 305,중학교,02-477-2280,http://www.dongbuk.ms.kr,사립
동북초등학교,서울특별시 도봉구 시루봉로 53,초등학교,02-993-1233,http://dongbuk.sen.es.kr,사립
동산초등학교,서울특별시 중구 매봉18길 109,초등학교,02-2252-7654,http://seoul-dongsan.es.kr,사립
동성고등학교,서울특별시 종로구 대학로 156,고등학교,02-3671-9100,http://www.dongsung.hs.kr,사립
동성중학교,서울특별시 종로구 대학로 156,중학교,02-3671-9101,sds.sen.ms.kr,사립
동신중학교,서울특별시 강동구 진황도로 72,중학교,02-3784-3938,http://dongshin.sen.ms.kr,사립
동양고등학교,서울특별시 강서구 허준로 50,고등학교,02-2657-0800,http://www.dongyang.hs.kr,사립
동양중학교,서울특별시 동작구 흑석로9길 94,중학교,02-814-9651,https://dongyang.sen.ms.kr,사립
동원중학교,서울특별시 중랑구 양원역로 32,중학교,02-493-8129,http://www.tongwon.ms.kr,공립
동일여자고등학교,서울특별시 금천구 탑골로10길 45,고등학교,02-803-9806,http://www.dongilg.hs.kr,사립
동일중학교,서울특별시 금천구 탑골로10길 45,중학교,02-802-0991,http://www.dongil.ms.kr,사립
동작고등학교,서울특별시 동작구 솔밭로 51,고등학교,02-588-4196,http://dongjak.sen.hs.kr,공립
동작중학교,서울특별시 동작구 동작대로39가길 83,중학교,02-591-6595,http://dongjak.ms.kr,공립
둔촌고등학교,서울특별시 강동구 명일로 140,고등학교,02-485-9873,https://doonchon.sen.hs.kr/,공립
둔촌중학교,서울특별시 강동구 진황도로61길 25-30,중학교,02-489-7100,http://doonchon.sen.ms.kr,공립
등명중학교,서울특별시 강서구 공항대로39길 39,중학교,02-2658-2727,http://www.deungmyoung.ms.kr,공립
등원중학교,서울특별시 강서구 화곡로65길 50,중학교,02-2658-2707,http://www.deungwon.ms.kr,공립
등촌고등학교,서울특별시 강서구 공항대로39길 115,고등학교,02-3665-6045,http://www.dch.hs.kr,공립
등촌중학교,서울특별시 강서구 공항대로 484-12,중학교,02-2653-0392,http://deungchon.sen.ms.kr,사립
리라아트고등학교,서울특별시 중구 소파로2길 ,고등학교,02-775-6541,http://www.lila.hs.kr,사립
리라초등학교,서울특별시 중구 소파로2길 7,초등학교,02-777-7461,http://www.lila.es.kr,사립
마곡중학교,서울특별시 강서구 마곡중앙5로 58,중학교,02-2666-8502,http://www.magok.ms.kr,공립
마곡하늬중학교,서울특별시 강서구 마곡서1로 16,중학교,0269855900,http://magokhanui.sen.ms.kr,공립
마장중학교,서울특별시 성동구 마장로35나길 31,중학교,02-2282-2933,http://mj.sen.ms.kr,공립
마포고등학교,서울특별시 강서구 화곡로 403,고등학교,02-3663-2583,http://www.mapo.hs.kr,사립
마포중학교,서울특별시 강서구 화곡로 403,중학교,02-3663-2591,http://mapo.sen.ms.kr,사립
매원초등학교,서울특별시 성북구 북악산로 870,초등학교,02-922-6052,http://www.maewon.es.kr,사립
면목고등학교,서울특별시 중랑구 용마산로72길 36-14,고등학교,02-435-0002,http://mmhs.sen.hs.kr,공립
면목중학교,서울특별시 중랑구 용마산로70길 37,중학교,02-437-0292,http://myonmok.sen.ms.kr,공립
명덕고등학교,서울특별시 강서구 강서로47길 34-10,고등학교,02-2664-8817,http://myungduk.sen.hs.kr,사립
명덕여자고등학교,서울특별시 강서구 강서로47길 34-10,고등학교,02-2664-8815,mdgh.sen.hs.kr,사립
명덕여자중학교,서울특별시 강서구 강서로47길 34-10,중학교,02-2664-8813,http://myungduk.sen.ms.kr,사립
명덕외국어고등학교,서울특별시 강서구 강서로47길 34-10,고등학교,02-2665-8821,http://www.mdfh.or.kr,사립
명일여자고등학교,서울특별시 강동구 명일로 350,고등학교,02-481-8192,http://www.myungil.hs.kr,공립
명일중학교,서울특별시 강동구 양재대로156길 57,중학교,070-5102-5713,http://www.myungil.ms.kr,공립
명지고등학교,서울특별시 서대문구 명지2길 56,고등학교,02-303-1540,http://www.myongjigo.net/,사립
명지중학교,서울특별시 서대문구 명지2길 56,중학교,02-302-7072,http://www.myongji.sen.ms.kr,사립
명지초등학교,서울특별시 서대문구 명지2길 32-20,초등학교,02-372-2872,http://www.myongji.net,사립
목동고등학교,서울특별시 양천구 목동동로2길 68,고등학교,02-2652-1701,https://mokdong.sen.hs.kr/,사립
목동중학교,서울특별시 양천구 목동동로 172,중학교,02-2643-1103,http://www.mokdong.ms.kr,공립
목운중학교,서울특별시 양천구 목동동로 235,중학교,02-2651-4060,http://www.mogun.ms.kr,공립
목일중학교,서울특별시 양천구 목동동로8길 70,중학교,02-2646-0553,http://mokil.sen.ms.kr,공립
무학여자고등학교,서울특별시 성동구 고산자로 197,고등학교,02-2200-1724,http://www.muhak.hs.kr,공립
무학중학교,서울특별시 성동구 행당로 120,중학교,02-2298-6141,http://muhakg.ms.kr,공립
문래중학교,서울특별시 영등포구 선유서로13길 6,중학교,02-6712-0707,http://www.mullae.ms.kr,공립
문성중학교,서울특별시 금천구 독산로102길 78,중학교,02-858-8446,http://www.munseong.ms.kr,공립
문일고등학교,서울특별시 금천구 시흥대로47길 45,고등학교,02-802-2301,http://moonil.hs.kr,사립
문일중학교,서울특별시 금천구 시흥대로47길 45,중학교,02-891-6669,http://moonil.sen.ms.kr,사립
문정고등학교,서울특별시 송파구 송이로34길 62,고등학교,02-406-0061,http://mj.sen.hs.kr,공립
문정중학교,서울특별시 송파구 문정로 73,중학교,02-448-6348,http://munjeong.sen.ms.kr,공립
문창중학교,서울특별시 동작구 여의대방로22나길 40,중학교,02-821-2359,http://www.munchang.ms.kr,공립
문현고등학교,서울특별시 송파구 충민로 115,고등학교,02-6951-8702,http://munhyeon.sen.hs.kr,공립
문현중학교,서울특별시 송파구 충민로 99,중학교,02-407-4095,http://www.munhyeon.ms.kr/,공립
